,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
365,Rudy Gay,UTA,35,14,11,3,268.0,18.8,18.2,20.0,25.7,27.2,14.6,16.0,18.0,27.4,25.3,10.2,15.4,17.5,9.7,23.8,20.0,16.2,18.9
366,Ignas Brazdeikis,ORL,22,13,1,12,110.0,13.9,9.4,15.2,7.5,17.8,12.8,12.5,23.8,17.1,18.6,11.5,8.8,25.0,0.0,18.2,24.1,12.0,9.6
367,Isaiah Roby,OKC,23,13,1,12,164.0,20.1,26.0,21.0,11.6,11.2,23.3,21.5,41.2,18.8,24.0,13.5,16.7,11.5,22.7,30.0,25.0,25.8,23.8
368,James Bouknight,CHA,21,13,7,6,103.0,23.8,21.7,26.2,33.3,26.4,18.4,14.5,40.0,17.6,25.9,9.6,17.2,5.9,0.0,40.0,18.9,13.3,22.5
369,Marcus Morris Sr.,LAC,32,13,6,7,386.0,20.3,21.4,22.3,27.1,27.1,14.0,14.1,7.2,21.5,18.0,14.6,15.7,14.0,12.1,17.6,18.6,13.8,21.0
370,Marvin Bagley III,SAC,22,13,5,8,255.0,15.7,18.9,16.9,14.3,14.2,18.5,18.9,31.5,33.1,32.6,7.1,10.8,5.6,25.0,12.5,14.3,21.5,18.4
371,Solomon Hill,ATL,30,13,7,6,139.0,6.4,2.8,8.2,4.5,12.7,0.0,0.0,18.8,14.3,15.2,18.5,2.4,17.4,16.7,8.3,31.4,3.2,2.5
372,Taj Gibson,NYK,36,13,6,7,239.0,10.0,9.0,9.1,1.3,3.9,13.8,14.3,37.7,19.7,24.2,8.5,16.9,20.0,41.2,13.6,36.0,16.9,8.5
373,Anthony Gill,WAS,29,12,3,9,63.0,12.4,20.4,12.0,21.4,7.3,15.6,15.1,40.0,24.4,28.3,6.5,15.4,0.0,28.6,0.0,35.0,9.8,19.1
374,Charles Bassey,PHI,21,12,4,8,108.0,15.4,23.8,16.0,0.0,4.2,26.1,28.1,66.7,36.5,42.4,4.2,11.4,11.8,63.2,28.6,42.5,30.6,21.9
375,Chris Chiozza,GSW,26,12,10,2,136.0,13.0,11.2,14.0,20.0,19.0,2.4,1.8,19.4,11.9,13.6,28.6,18.8,24.0,0.0,33.3,29.4,10.4,11.3
376,Jarrett Culver,MEM,22,12,8,4,103.0,19.1,22.4,20.6,10.3,15.4,25.0,21.6,6.5,22.4,17.3,23.7,11.5,20.7,9.1,30.0,11.9,24.2,21.2
377,Nathan Knight,MIN,24,12,6,6,46.0,18.3,20.7,12.2,0.0,2.6,58.3,54.5,30.8,25.6,26.8,15.8,20.0,14.3,50.0,0.0,35.3,42.9,28.0
378,Robin Lopez,ORL,33,12,1,11,193.0,17.9,26.5,16.6,0.0,0.6,20.0,25.6,46.4,13.8,24.0,17.1,25.0,0.0,50.0,7.7,29.9,28.8,22.4
379,Saben Lee,DET,22,12,0,12,171.0,19.0,17.9,19.0,15.0,19.0,19.7,23.2,7.7,20.2,16.9,37.5,16.9,40.5,18.8,24.0,12.7,23.8,17.9
380,Bol Bol,DEN,22,11,4,7,51.0,12.5,19.4,16.5,0.0,5.6,6.7,15.8,14.3,30.8,26.4,16.0,0.0,12.5,66.7,0.0,14.3,5.9,14.6
381,Collin Sexton,CLE,22,11,7,4,316.0,26.4,27.0,27.3,19.0,24.3,30.2,31.2,19.4,10.1,12.2,14.6,25.0,20.8,0.0,44.4,25.3,35.2,26.7
382,De'Andre Hunter,ATL,24,11,3,8,306.0,17.8,18.3,19.2,22.1,21.5,4.3,8.3,5.4,12.3,10.5,4.5,18.4,20.0,12.0,16.7,26.9,15.8,16.8
383,Greg Brown III,POR,20,11,6,5,51.0,18.9,19.4,22.7,0.0,11.4,11.1,23.3,45.5,25.0,29.8,25.0,8.7,25.0,66.7,50.0,31.8,26.1,16.0
384,Jake Layman,MIN,27,11,6,5,53.0,12.9,10.8,15.2,20.0,18.4,0.0,5.7,6.7,19.6,16.4,4.5,11.8,8.3,16.7,16.7,12.5,4.3,9.1
385,Jock Landale,SAS,26,11,6,5,38.0,22.2,29.7,25.0,18.2,24.0,11.1,13.6,50.0,5.4,13.3,11.5,20.0,0.0,40.0,33.3,36.4,23.5,25.2
386,Kevin Pangos,CLE,28,11,9,2,46.0,14.3,13.8,13.2,14.3,13.5,25.0,25.0,14.3,4.0,6.3,41.2,17.4,25.0,0.0,25.0,19.2,33.3,14.5
387,Nic Claxton,BKN,22,11,8,3,204.0,14.5,20.3,14.5,0.0,0.0,12.3,19.3,37.8,22.5,25.4,5.2,14.8,14.8,38.5,24.0,25.8,25.9,16.9
388,Rodney McGruder,DET,30,11,0,11,84.0,14.0,15.6,15.5,10.0,14.3,5.6,4.2,31.6,16.9,20.5,18.4,14.8,0.0,11.1,21.4,20.8,5.4,13.0
389,Semi Ojeleye,MIL,27,11,5,6,218.0,10.4,7.6,11.5,9.4,13.9,6.1,6.6,38.9,12.6,19.5,4.5,8.3,13.3,29.4,22.2,25.4,7.8,7.7
390,Serge Ibaka,LAC,32,11,6,5,154.0,15.7,14.9,17.7,17.8,15.6,11.4,14.5,41.4,19.5,23.9,17.8,11.8,9.1,37.5,25.0,33.3,12.5,14.8
391,Aaron Wiggins,OKC,22,10,1,9,152.0,9.3,8.8,8.0,14.6,14.6,8.5,11.7,7.1,12.3,11.3,14.5,21.6,20.0,7.7,0.0,29.5,12.5,9.5
392,Day'Ron Sharpe,BKN,20,10,6,4,62.0,22.6,28.9,19.8,9.1,7.7,40.0,57.9,60.9,31.3,40.8,0.0,27.6,18.2,50.0,10.0,41.2,33.3,27.9
393,Ed Davis,CLE,32,10,6,4,96.0,7.9,12.9,7.4,0.0,0.0,5.3,14.3,23.8,39.7,36.0,2.4,7.9,15.4,75.0,14.3,27.3,16.7,10.0
394,Isaac Bonga,TOR,22,10,5,5,54.0,11.5,7.9,11.1,7.1,6.1,33.3,35.3,21.1,5.3,10.5,15.0,6.7,30.8,40.0,33.3,38.1,36.4,10.8
395,Kelly Olynyk,DET,30,10,2,8,229.0,23.2,24.6,23.7,25.5,22.8,25.0,29.9,26.5,29.9,29.0,21.1,20.3,28.6,28.0,27.8,27.8,36.2,24.8
396,Markieff Morris,MIA,32,10,7,3,187.0,19.0,18.9,20.4,15.7,17.9,8.5,7.0,28.9,10.6,15.0,13.5,21.4,12.5,16.7,5.9,31.9,11.4,17.2
397,Miles McBride,NYK,21,10,4,6,69.0,19.4,20.8,24.2,16.7,25.0,8.8,8.1,10.5,17.1,14.8,36.4,0.0,46.2,11.1,33.3,19.4,8.6,17.7
398,Petr Cornelie,DEN,26,10,2,8,31.0,19.8,16.0,21.0,0.0,18.9,14.3,20.0,75.0,27.3,40.0,16.7,25.0,0.0,25.0,100,55.6,18.2,13.0
399,Coby White,CHI,21,9,5,4,158.0,20.4,15.8,22.0,25.9,34.1,8.9,12.1,4.5,20.0,17.4,16.4,19.0,4.2,11.1,20.8,21.4,12.5,15.7
400,Frank Kaminsky,PHX,28,9,8,1,181.0,18.5,22.5,19.5,10.2,11.2,35.3,34.5,68.8,21.9,26.8,13.5,10.0,18.6,31.8,20.0,21.2,30.2,22.6
401,Georgios Kalaitzakis,MIL,22,9,7,2,48.0,17.1,17.2,15.3,16.7,12.1,33.3,45.0,44.4,13.8,21.1,0.0,14.3,100,33.3,0.0,29.6,35.3,19.5
402,Ish Wainright,PHX,27,9,7,2,51.0,18.2,12.8,21.7,25.0,34.4,0.0,5.6,35.3,14.6,20.7,13.0,18.8,42.9,0.0,16.7,38.2,8.0,10.7
403,Jabari Parker,BOS,26,9,3,6,84.0,18.2,21.5,17.5,26.3,13.4,20.5,18.6,18.2,29.1,26.0,9.3,23.8,23.1,16.7,18.2,28.9,10.8,21.8
404,Jalen Smith,PHX,21,9,7,2,76.0,20.0,18.3,22.0,6.7,19.3,27.0,25.6,44.4,29.9,32.9,5.1,12.1,25.0,66.7,14.3,20.9,23.7,19.2
405,Jericho Sims,NYK,23,9,4,5,58.0,5.0,7.7,2.9,0.0,0.0,10.7,10.8,27.3,25.0,25.4,4.5,15.4,25.0,50.0,0.0,23.5,15.4,7.4
406,Kai Jones,CHA,20,9,6,3,22.0,15.1,14.3,12.1,0.0,7.1,12.5,16.7,14.3,33.3,25.0,11.1,27.3,0.0,0.0,0.0,16.7,22.2,12.2
407,Michael Porter Jr.,DEN,23,9,5,4,265.0,19.2,15.5,21.6,18.2,27.6,10.0,11.7,20.5,23.6,23.0,12.1,12.9,23.8,8.7,18.2,18.2,10.3,15.3
408,Usman Garuba,HOU,19,9,1,8,64.0,12.1,10.3,13.0,20.0,20.9,3.2,4.8,42.9,35.4,37.1,18.9,18.2,22.2,57.1,25.0,26.1,7.7,9.6
409,Vlatko Cancar,DEN,24,9,5,4,75.0,13.8,15.3,13.8,14.8,6.8,17.9,17.1,8.3,18.2,16.1,18.2,18.2,11.1,16.7,33.3,33.3,22.2,15.6
410,Yuta Watanabe,TOR,27,9,5,4,174.0,13.7,12.0,14.7,26.7,26.7,14.3,16.9,15.2,25.0,22.2,15.1,5.0,12.5,26.1,11.8,15.4,18.2,14.0
411,Bruno Fernando,BOS,23,8,5,3,18.0,12.2,15.4,9.7,0.0,0.0,0.0,0.0,20.0,9.1,12.5,20.0,27.3,0.0,100,0.0,37.5,0.0,11.1
412,DeMarcus Cousins,MIL,31,8,5,3,102.0,19.2,13.7,17.8,10.7,19.8,26.2,26.0,30.0,35.2,33.7,18.0,24.2,25.0,16.7,37.5,40.0,30.2,15.4
413,Jahmi'us Ramsey,SAC,20,8,1,7,61.0,18.2,13.7,20.4,6.7,21.7,11.8,17.8,7.7,4.4,5.2,6.5,7.7,0.0,33.3,14.3,15.8,16.1,12.6
414,Javonte Smart,MIL,22,8,5,3,96.0,13.6,11.5,13.4,16.7,16.9,15.2,14.6,14.3,15.5,15.2,15.0,17.2,16.7,0.0,30.8,24.0,12.5,12.7
